fsID,license
2937,Sampling+
6984,CC BY
7389,CC BY-NC
9674,CC BY
14524,CC0
16772,CC BY
17074,CC BY
17124,CC0
17307,CC BY-NC
18594,CC BY
18933,CC0
19026,CC BY
22601,CC0
24074,Sampling+
24076,Sampling+
24347,Unknown
26173,CC BY
26176,CC BY
26177,CC BY
26185,CC BY
26186,CC BY
27068,CC0
28426,CC BY
28808,CC BY
29932,CC BY
30823,CC0
32417,CC0
34241,CC0
34952,CC (unspecified)
40717,CC BY
40722,CC BY
42101,CC BY-NC
42117,CC BY-NC
43802,CC BY
43803,CC BY
43805,CC BY
43806,CC BY
44278,CC BY-NC
45256,CC BY-NC
46391,CC BY
49974,CC0
52102,CC BY
54086,CC0
54187,CC BY
54898,CC BY
57323,CC BY-NC
57607,CC BY
58202,CC BY
62878,CC BY-NC
65472,CC BY
66115,CC BY-NC
66601,CC BY-NC
66996,CC BY-NC
68657,CC BY
70740,CC BY-NC
71177,CC BY-NC
71309,CC BY
71439,CC BY-NC
72259,CC BY-NC
72567,CC BY-NC
73168,CC BY
74364,CC BY
74726,CC BY-NC
75490,CC BY
77509,CC BY
82317,CC BY
83465,CC0
83488,Sampling+
87275,CC0
88121,Sampling+
89679,CC BY
90014,CC BY
90846,CC BY
91396,CC0
93567,CC BY-NC
94020,CC BY-NC
94401,CC BY
94636,CC BY
94868,CC0
96657,CC0
98525,Sampling+
98536,Sampling+
99812,CC0
100648,CC0
102853,CC BY
102871,CC BY
105289,CC BY-NC
106905,CC BY-NC
107090,CC BY
107357,Unknown
111671,CC BY
113160,CC BY-NC
117181,CC0
117536,CC BY-NC
118070,CC0
118279,CC BY
118496,CC BY-NC
121299,CC BY-NC
121528,CC0
123688,CC BY
124389,CC0
125520,CC0
128465,CC BY
132073,CC0
133473,CC0
135160,CC0
138465,CC BY
138468,CC BY
143115,CC0
145577,CC BY
148632,CC0
151359,CC0
153057,CC BY
155129,CC BY
155130,CC BY
155234,CC BY
155283,CC BY
156091,CC0
156194,CC0
156868,CC0
156869,CC0
157648,CC BY
157866,CC0
157867,CC0
157868,CC0
158608,CC BY
159738,CC0
159742,CC0
159743,CC0
159744,CC0
159745,CC0
159747,CC0
159748,CC0
159750,CC0
159751,CC0
159752,CC0
159753,CC0
159754,CC0
159755,CC0
161010,CC BY
162540,CC0
162541,CC0
162702,CC BY
162703,CC BY
162728,CC BY
164053,CC0
164625,CC0
164626,CC0
164627,CC0
164782,CC0
165166,CC0
170243,CC0
171249,CC0
174840,CC BY
174841,CC BY
175842,Unknown
175843,Unknown
175844,Unknown
175845,Unknown
175846,Unknown
175847,Unknown
175848,Unknown
175849,Unknown
175850,Unknown
175851,Unknown
175852,Unknown
175853,Unknown
175854,Unknown
175855,Unknown
175856,Unknown
176003,CC BY-NC
176631,CC BY
176634,CC BY
176638,CC BY
178115,CC BY-NC
178402,CC0
179858,Unknown
179860,Unknown
179861,Unknown
179862,Unknown
179863,Unknown
179864,Unknown
179865,Unknown
179866,Unknown
179867,Unknown
179868,Unknown
180156,CC BY
182474,CC0
183894,CC0
184355,CC BY
184623,CC0
185436,Unknown
187356,CC BY
188004,CC BY
199769,CC BY-NC
203913,CC0
203956,CC BY
204765,CC BY-NC
208652,CC0
